id,activity_new,channel_sales,cons_12m,cons_gas_12m,cons_last_month,no_consumption,churn,days_active,days_since_last_modification,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max
0002203ffbb812588b632b9e628cc38d,,foosdfpfkusacimwkcsosbicdxkicaua,22034,0,3084,0,0,2224,1863,,,,,729.06,425,0,138.95,0.1169,0.100015,40.606701,0,40.78,43.08,43.08,1,81.42,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,17.25
0004351ebdd665e6ee664792efc4fd13,,,4060,0,0,1,0,2511,732,,,,,597.77,0,0,6.84,0.142065,0,44.31137796,0,0,24.42,24.42,1,61.58,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
0010bcc39e42b3c2131ed2ce55246e3c,fskfsbkdioupwobbsaoospkxaafmwobl,usilxuppasemubllopkaafesmlibmsdf,7440,0,1062,0,0,1165,-68,,,,,1311.16,1062,30,18.37,0.19923,0,45.80687796,0,213.76,38.58,38.58,2,81.61,3,lxidpiddsbxsbosboudacockeimpuepw,13.856
0010ee3855fdea87602a5b7aba8e42de,apdekpcbwosbxepsfxclislboipuxpop,lmkebamcaaclubfxadlmueccxoimlema,4199490,728810,456462,0,0,2192,1833,,,,,11776.27,17393,0,132.11,0.110083,0.093746,40.606701,1,1533.07,-2.8,-2.8,2,897.08,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,33
00114d74e963e47177db89bc70108537,sumdxiaiudmaioicexmiwuudlblkissm,ewpakwlliwisiwduibdlfmalxowmwpci,11272,0,0,1,0,2192,1833,,,,,1671.41,0,0,18.27,0.144149,0,44.31137796,0,0,29.76,29.76,1,157.99,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00126c87cf78d7604278f0a9adeb689e,kwuslieomapmswolewpobpplkaooaaew,foosdfpfkusacimwkcsosbicdxkicaua,104657,0,6760,0,0,1461,1096,,,,,10378.44,6760,0,393.44,0.110083,0.093746,40.606701,0,642.89,-4.41,-4.41,1,700.71,4,lxidpiddsbxsbosboudacockeimpuepw,70
0013f326a839a2f6ad87a1859952d227,duiwascsdupcmdfkspbukuuaklsawmmc,foosdfpfkusacimwkcsosbicdxkicaua,267414,0,19394,0,0,1095,142,302.04,302.04,4553.78,195.2,3077.34,1760,0,144.86,0.118636,0.10175,40.606701,0,195.2,30,30,1,341.58,3,lxidpiddsbxsbosboudacockeimpuepw,20
00184e957277eeef733a7b563fdabd06,wxemiwkumpibllwklfbcooafckufkdlm,ewpakwlliwisiwduibdlfmalxowmwpci,16072,0,5501,0,0,1095,731,,,,,2363.54,5501,0,19.57,0.143801,0,44.31137796,0,798.16,29.76,29.76,1,184.06,3,ldkssxwpmemidmecebumciepifcamkci,13.2
001987ed9dbdab4efa274a9c7233e1f4,epmwweimsesebmlpseufxpckcxmmuxol,,72346,57630,7654,0,0,4383,4029,,,,,3406.39,3585,0,131.76,0.115174,0.098837,40.606701,1,348.05,44.92,44.92,2,385.39,12,ldkssxwpmemidmecebumciepifcamkci,49
0019baf3ed1242cd99b3cb592030446f,mpicaaibskkfmxoblmwwwuuwpkecacil,foosdfpfkusacimwkcsosbicdxkicaua,528,0,150,0,1,1461,1096,,,,,142.05,150,0,18.37,0.273963,0,59.26637796,0,41.27,197.28,197.28,1,65.99,3,lxidpiddsbxsbosboudacockeimpuepw,13.15
001cb880d847a0b63b404a48e50aec17,,,12128,0,0,1,1,2479,-286,,,,,1769.73,0,0,19.41,0.138305,0,44.31137796,0,0,22.95,22.95,1,127.55,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856
001cd16732dc7d5bdf46b0d49996c271,,,7805,0,0,1,0,2158,-279,,,,,994.47,0,30,16.73,0.198096,0,46.30537836,0,0,25.44,25.44,2,57.7,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392
001dc71143f45cb58aaccc2e94823c5a,kkklcdamwfafdcfwofuscwfwadblfmce,,12500,0,1461,0,0,2557,2195,,,,,1839.43,1461,0,61.49,0.143166,0,44.31137796,0,211,19.28,19.28,1,168.53,7,ldkssxwpmemidmecebumciepifcamkci,13.2
0024bc8ffe90ec2d5f5be3b5cd7bf2cf,,foosdfpfkusacimwkcsosbicdxkicaua,6883,0,0,1,0,1461,1098,,,,,356.74,0,0,16.77,0.145711,0,44.31137796,0,0,24.33,24.33,1,36.02,4,lxidpiddsbxsbosboudacockeimpuepw,13.164
002b3009d069858b471918402fb237b7,,,0,0,0,1,0,2868,2503,,,,,0,0,0,359.57,0.092453,0.086393,59.17346796,0,0,0.36,0.36,1,0,7,ldkssxwpmemidmecebumciepifcamkci,192
